P_SyscoID	P_Sys_Opco	P_SyscoProdID0	P_SyscoProdID1	P_SyscoProdID2	P_SyscoProdID3	P_SyscoProdID4	P_SyscoProdID5	P_SyscoProdID6	P_SyscoProdID7	P_SyscoProdID8	P_SyscoProdID9	P_SyscoProdID10	P_SyscoProdID11	P_SyscoProdID12	P_SyscoProdID13	P_SyscoProdID14	P_SyscoProdID15	P_SyscoProdID16	P_SyscoProdID17	P_SyscoProdID18	P_SyscoProdID19	P_SyscoProdID20	P_SyscoProdID21	P_SyscoProdID22	P_SyscoProdID23	P_SyscoProdID24	P_SyscoProdID25	P_SyscoProdID26	P_SyscoProdID27	P_SyscoProdID28	P_SyscoProdID29
279901	067	7846439	7848740	7849060	7849714	7849912	7850308	7850498	7850639	7852734	7853013	7855141	7855612	7856214	7859861	7860232	7862600	7865256	7865975	7868326	7870249	7871908	7871924	7871981	7875909	7878002	7883903	7884695	7886054	7887268	7888209
279976	067	7889876	7899453	7900947	7901069	7902851	7903347	7905607	7905870	7907587	7908486	7908510	7908775	7908783	7908791	7910102	7910128	7910318	7911092	7911274	7911522	7911795	7912553	7912561	7914930	7914989	7915606	7919335	7919673	7919699	7919707
280313	067	7919822	7920275	7921018	7922669	7922958	7923006	7923097	7923501	7933534	7933971	7934128	7938939	7938988	7940927	7943152	7943533	7944630	7945157	7946882	7951643	7954621	7954639	7955784	7959141	7959265	7959745	7961113	7962301	7962368	7962483
280545	067	7962574	7962608	7962640	7962863	7962889	7963150	7963390	7963499	7963523	7963812	7965031	7966286	7966302	7966310	7966708	7966740	7966997	7967169	7968217	7969322	7970049	7971039	7971336	7971419	7971864	7972466	7977150	7977861	7978356	7982630
280685	067	7988900	7989494	7990229	7990237	7990278	7990401	7991904	7994064	7997208	7997695	7999337	7999816	8000341	8001216	8001349	8008021	8009169	8009342	8009375	8010589	8011223	8011488	8014128	8014730	8014953	8015018	8015331	8020208	8020265	8020588
280719	067	8020901	8024622	8024838	8025850	8025884	8026122	8032039	8032989	8033813	8040586	8041162	8041196	8043440	8044869	8044950	8045007	8046583	8047755	8049215	8049579	8049603	8049702	8051997	8055089	8056970	8061012	8062184	8062192	8062697	8064008
280735	067	8064156	8064354	8065765	8066425	8066458	8066862	8067191	8067480	8068918	8069866	8072654	8072787	8072803	8073363	8075590	8076754	8076762	8078180	8082588	8082810	8083040	8083164	8083552	8088346	8089054	8093205	8094500	8095879	8097008	8099921
281170	067	8103848	8104101	8104127	8104234	8104291	8104317	8104689	8104697	8104721	8104796	8109985	8112120	8112492	8112831	8113987	8114621	8116055	8116311	8117210	8117749	8118226	8120370	8122103	8122137	8128027	8131138	8136723	8138786	8140006	8140618
281188	067	8141988	8142002	8142051	8142101	8142176	8142283	8142309	8142317	8142366	8143174	8147746	8148017	8149007	8151573	8151698	8151904	8152597	8156077	8156945	8156986	8158560	8158974	8160004	8160103	8160830	8162448	8170664	8176091	8176521	8187510
281626	067	8187536	8187551	8188591	8188674	8189706	8189938	8190068	8190159	8190779	8195794	8196636	8209538	8209553	8209579	8209629	8209678	8212334	8213373	8214306	8214363	8216012	8217572	8221640	8221657	8222853	8223356	8223703	8224149	8229874	8231847
281659	067	8234551	8235780	8237414	8237919	8240970	8245474	8248098	8249062	8251670	8252645	8254047	8256323	8256919	8256935	8262958	8264426	8264442	8265043	8268302	8268732	8268757	8268955	8269755	8269862	8272916	8276685	8276990	8277592	8278871	8279549
281741	067	8281982	8282832	8285959	8286411	8286429	8286437	8286445	8286809	8291700	8294175	8294381	8294506	8294605	8294860	8296907	8299125	8305369	8306391	8309445	8310641	8310807	8313744	8313751	8314817	8314841	8318701	8320624	8320665	8320707	8321135
281840	067	8321259	8321655	8322000	8322117	8322224	8322703	8324378	8325599	8328668	8335705	8336158	8336547	8336554	8337503	8337842	8339087	8339145	8341513	8352023	8354664	8355604	8359929	8359952	8365496	8370231	8370744	8377103	8377194	8377913	8377988
281923	067	8380107	8380727	8381857	8382129	8384752	8384760	8384943	8384950	8384984	8385031	8386021	8386765	8386815	8386971	8386997	8387839	8388902	8389140	8389355	8389553	8389819	8389835	8390270	8390734	8390783	8395675	8395741	8396939	8397044	8397689
281972	067	8399529	8399560	8399750	8399768	8399784	8401002	8402315	8403164	8403321	8403339	8405474	8405581	8406936	8407678	8409633	8410425	8410953	8411399	8412009	8414815	8415242	8417354	8422057	8423345	8426611	8429763	8432890	8432908	8432916	8434193
281980	067	8435620	8436743	8441826	8447542	8448797	8449886	8453409	8453631	8461303	8461790	8462038	8464083	8468969	8469165	8469611	8469967	8470098	8474017	8474538	8477671	8477960	8478430	8478661	8480972	8481020	8481178	8482416	8482465	8482473	8482499
282012	067	8483463	8483489	8483562	8483737	8484438	8485013	8486557	8492423	8492514	8493322	8494031	8494205	8494312	8494718	8496820	8497018	8499733	8505257	8508368	8509796	8513038	8513889	8524837	8525644	8527459	8529836	8530396	8531584	8531691	8531808
282046	067	8531824	8532004	8538969	8544074	8545022	8546004	8546020	8549776	8555468	8555500	8555831	8555914	8556250	8557548	8559130	8562373	8562621	8562639	8562654	8562662	8562688	8563157	8563165	8563181	8563280	8569824	8574733	8574766	8575474	8575813
282285	067	8576381	8576886	8584351	8588881	8588899	8589426	8595522	8599706	8599938	8602732	8602856	8606212	8606295	8608358	8609497	8615593	8616385	8618316	8622789	8625063	8626962	8630683	8631954	8632499	8644817	8645657	8645699	8646333	8646382	8646481
282293	067	8646986	8649527	8650731	8653198	8666463	8666828	8668246	8668550	8668972	8669061	8669095	8669111	8669236	8673006	8674699	8676611	8677858	8677908	8683005	8685364	8688012	8689044	8693012	8696643	8701294	8703241	8714933	8716664	8718645	8720096
282301	067	8723033	8724163	8724684	8724700	8724718	8726416	8730129	8730285	8730855	8731721	8731770	8732091	8738650	8738809	8741142	8741183	8742751	8742827	8743601	8743619	8743635	8743650	8743833	8747297	8749806	8750390	8750440	8751034	8758526	8759904
282376	067	8760860	8767733	8782377	8785172	8785594	8785743	8790917	8797771	8798829	8805806	8808057	8808206	8809501	8819492	8822769	8830135	8837239	8837296	8838922	8838963	8839326	8839458	8840050	8841991	8843567	8845729	8851735	8854408	8856122	8857047
282434	067	8857229	8858490	8859100	8859571	8875460	8875585	8875973	8876286	8878514	8878563	8885360	8885451	8888364	8890956	8896805	8896870	8897001	8897266	8897795	8898058	8899163	8901449	8903874	8905762	8918377	8919060	8919086	8920118	8920209	8920241
282509	067	8920431	8920464	8920472	8927634	8928053	8928061	8930760	8932147	8932394	8932402	8932519	8932550	8932600	8932717	8932824	8933426	8933459	8933533	8934077	8934101	8934176	8934283	8941965	8945255	8945370	8945438	8946196	8946212	8950719	8953028
282681	067	8956666	8956864	8957060	8957649	8959694	8964850	8965881	8968695	8969842	8969917	8970428	8972739	8974461	8974750	8983157	8984148	8987968	8988263	8991994	8992026	8992224	8993578	8993743	8994105	9000738	9000803	9000985	9002908	9003039	9003047
282921	067	9003286	9003815	9004524	9005281	9005315	9005554	9009531	9010208	9010646	9010711	9011610	9011883	9012725	9012899	9015876	9018458	9018490	9018573	9018581	9024472	9024480	9024712	9027137	9028002	9028036	9028044	9028184	9030339	9030644	9031402
282988	067	9032582	9032947	9033580	9034489	9035155	9035866	9035908	9037169	9039595	9040767	9040932	9041484	9041559	9041831	9048943	9049891	9049909	9053232	9054099	9058470	9063454	9064189	9067083	9068438	9071325	9071333	9071390	9071416	9072539	9072828
283002	067	9073826	9073875	9074386	9074840	9076233	9077074	9077454	9081910	9083304	9083312	9083437	9086786	9087305	9087412	9088089	9088949	9089186	9089301	9089475	9090226	9090374	9090739	9091067	9094301	9094848	9094970	9095035	9098674	9098856	9098864
